,id,price,time,exchange,quote_type,market_hours,change_percent,change,open_price,price_hint,currency,day_high,day_low
11172,^NSEI,22525.55,2026-03-30 07:21:08,NSI,9,1,-1.2885971,-294.04883,,2,,,
11173,^NSEI,22524.85,2026-03-30 07:21:09,NSI,9,1,-1.2916641,-294.75,,2,,,
11174,^NSEI,22523.95,2026-03-30 07:21:10,NSI,9,1,-1.2955359,-295.6504,,2,,,
11175,^NSEI,22524.7,2026-03-30 07:21:11,NSI,9,1,-1.2923061,-294.9004,,2,,,
11176,^NSEI,22525.75,2026-03-30 07:21:12,NSI,9,1,-1.2877692,-293.8496,,2,,,
11177,^NSEI,22526.35,2026-03-30 07:21:13,NSI,9,1,-1.2851133,-293.25,,2,,,
11178,^NSEI,22525.6,2026-03-30 07:21:14,NSI,9,1,-1.2883351,-294.0,,2,,,
11180,^NSEI,22527.3,2026-03-30 07:21:16,NSI,9,1,-1.2809198,-292.29883,,2,,,
11179,^NSEI,22527.15,2026-03-30 07:21:16,NSI,9,1,-1.2815788,-292.44922,,2,,,
11181,^NSEI,22528.05,2026-03-30 07:21:17,NSI,9,1,-1.2776667,-291.54883,,2,,,
11182,^NSEI,22527.3,2026-03-30 07:21:18,NSI,9,1,-1.2809086,-292.29883,,2,,,
11183,^NSEI,22527.15,2026-03-30 07:21:19,NSI,9,1,-1.2815506,-292.44922,,2,,,
11184,^NSEI,22527.65,2026-03-30 07:21:21,NSI,9,1,-1.2793849,-291.94922,,2,,,
11185,^NSEI,22527.65,2026-03-30 07:21:21,NSI,9,1,-1.2793792,-291.94922,,2,,,
11186,^NSEI,22528.0,2026-03-30 07:21:22,NSI,9,1,-1.2778667,-291.5996,,2,,,
11187,^NSEI,22528.2,2026-03-30 07:21:23,NSI,9,1,-1.2769797,-291.4004,,2,,,
11188,^NSEI,22527.9,2026-03-30 07:21:24,NSI,9,1,-1.2782781,-291.69922,,2,,,
11189,^NSEI,22528.9,2026-03-30 07:21:25,NSI,9,1,-1.2738931,-290.69922,,2,,,
11190,^NSEI,22529.4,2026-03-30 07:21:26,NSI,9,1,-1.2717466,-290.19922,,2,,,
11191,^NSEI,22529.0,2026-03-30 07:21:27,NSI,9,1,-1.2734426,-290.5996,,2,,,
11192,^NSEI,22529.65,2026-03-30 07:21:28,NSI,9,1,-1.2706093,-289.94922,,2,,,
11193,^NSEI,22529.35,2026-03-30 07:21:29,NSI,9,1,-1.2719274,-290.25,,2,,,
11194,^NSEI,22529.4,2026-03-30 07:21:30,NSI,9,1,-1.2717133,-290.19922,,2,,,
11195,^NSEI,22529.95,2026-03-30 07:21:31,NSI,9,1,-1.2693303,-289.6504,,2,,,
11196,^NSEI,22530.0,2026-03-30 07:21:32,NSI,9,1,-1.2690856,-289.5996,,2,,,
11197,^NSEI,22529.75,2026-03-30 07:21:33,NSI,9,1,-1.2701589,-289.8496,,2,,,
11198,^NSEI,22530.0,2026-03-30 07:21:34,NSI,9,1,-1.2691162,-289.5996,,2,,,
11199,^NSEI,22530.9,2026-03-30 07:21:35,NSI,9,1,-1.265187,-288.69922,,2,,,
11200,^NSEI,22531.1,2026-03-30 07:21:36,NSI,9,1,-1.2642918,-288.5,,2,,,
11201,^NSEI,22531.05,2026-03-30 07:21:37,NSI,9,1,-1.2644864,-288.54883,,2,,,
11202,^NSEI,22530.4,2026-03-30 07:21:38,NSI,9,1,-1.2673281,-289.19922,,2,,,
11203,^NSEI,22529.9,2026-03-30 07:21:39,NSI,9,1,-1.2694943,-289.69922,,2,,,
11204,^NSEI,22529.85,2026-03-30 07:21:40,NSI,9,1,-1.2697251,-289.75,,2,,,
11205,^NSEI,22530.1,2026-03-30 07:21:41,NSI,9,1,-1.2686825,-289.5,,2,,,
11206,^NSEI,22530.0,2026-03-30 07:21:42,NSI,9,1,-1.2690911,-289.5996,,2,,,
11207,^NSEI,22530.0,2026-03-30 07:21:43,NSI,9,1,-1.2690634,-289.5996,,2,,,
11208,^NSEI,22530.1,2026-03-30 07:21:45,NSI,9,1,-1.2686768,-289.5,,2,,,
11209,^NSEI,22530.6,2026-03-30 07:21:45,NSI,9,1,-1.266483,-289.0,,2,,,
11210,^NSEI,22531.25,2026-03-30 07:21:46,NSI,9,1,-1.2636188,-288.3496,,2,,,
11211,^NSEI,22531.25,2026-03-30 07:21:47,NSI,9,1,-1.2636437,-288.3496,,2,,,
11212,^NSEI,22531.8,2026-03-30 07:21:48,NSI,9,1,-1.2612439,-287.79883,,2,,,
11213,^NSEI,22530.65,2026-03-30 07:21:50,NSI,9,1,-1.2662716,-288.94922,,2,,,
11214,^NSEI,22530.5,2026-03-30 07:21:50,NSI,9,1,-1.2668834,-289.0996,,2,,,
11215,^NSEI,22529.65,2026-03-30 07:21:51,NSI,9,1,-1.2705675,-289.94922,,2,,,
11216,^NSEI,22530.8,2026-03-30 07:21:52,NSI,9,1,-1.2655847,-288.79883,,2,,,
11217,^NSEI,22529.95,2026-03-30 07:21:53,NSI,9,1,-1.2692747,-289.6504,,2,,,
11218,^NSEI,22529.25,2026-03-30 07:21:55,NSI,9,1,-1.272336,-290.3496,,2,,,
11219,^NSEI,22529.95,2026-03-30 07:21:55,NSI,9,1,-1.2693442,-289.6504,,2,,,
11220,^NSEI,22530.95,2026-03-30 07:21:56,NSI,9,1,-1.2649397,-288.6504,,2,,,
11221,^NSEI,22531.2,2026-03-30 07:21:57,NSI,9,1,-1.2638386,-288.4004,,2,INR,,
11222,^NSEI,22531.5,2026-03-30 07:21:58,NSI,9,1,-1.2625067,-288.0996,,2,,,
11223,^NSEI,22531.55,2026-03-30 07:22:00,NSI,9,1,-1.2622869,-288.04883,,2,,,
11224,^NSEI,22531.8,2026-03-30 07:22:00,NSI,9,1,-1.2612052,-287.79883,,2,,,
11225,^NSEI,22531.5,2026-03-30 07:22:01,NSI,9,1,-1.2624929,-288.0996,,2,,,
11226,^NSEI,22531.55,2026-03-30 07:22:01,NSI,9,1,-1.2622898,-288.04883,,2,,,
11227,^NSEI,22530.8,2026-03-30 07:22:02,NSI,9,1,-1.2655431,-288.79883,,2,,,
11228,^NSEI,22530.6,2026-03-30 07:22:03,NSI,9,1,-1.266469,-289.0,,2,,,
11229,^NSEI,22529.9,2026-03-30 07:22:04,NSI,9,1,-1.26955,-289.69922,,2,,,
11230,^NSEI,22529.65,2026-03-30 07:22:05,NSI,9,1,-1.2706177,-289.94922,,2,,,
11231,^NSEI,22529.95,2026-03-30 07:22:07,NSI,9,1,-1.2692996,-289.6504,,2,,,
11232,^NSEI,22529.95,2026-03-30 07:22:07,NSI,9,1,-1.2693053,-289.6504,,2,,,
11233,^NSEI,22530.1,2026-03-30 07:22:08,NSI,9,1,-1.2686907,-289.5,,2,,,
11234,^NSEI,22528.1,2026-03-30 07:22:09,NSI,9,1,-1.2773182,-291.5,,2,,,
11235,^NSEI,22528.85,2026-03-30 07:22:10,NSI,9,1,-1.2740822,-290.75,,2,,,
11236,^NSEI,22528.0,2026-03-30 07:22:12,NSI,9,1,-1.2777883,-291.5996,,2,,,
11237,^NSEI,22527.15,2026-03-30 07:22:12,NSI,9,1,-1.2815226,-292.44922,,2,,,
11238,^NSEI,22519.8,2026-03-30 07:22:14,NSI,9,1,-1.3136541,-299.79883,,2,,,
11239,^NSEI,22516.9,2026-03-30 07:22:14,NSI,9,1,-1.3263193,-302.69922,,2,,,
11240,^NSEI,22516.8,2026-03-30 07:22:15,NSI,9,1,-1.3268925,-302.79883,,2,,,
11241,^NSEI,22517.25,2026-03-30 07:22:16,NSI,9,1,-1.3249645,-302.3496,,2,,,
11242,^NSEI,22517.9,2026-03-30 07:22:17,NSI,9,1,-1.3221346,-301.69922,,2,,,
11243,^NSEI,22518.65,2026-03-30 07:22:18,NSI,9,1,-1.3188219,-300.94922,,2,,,
11244,^NSEI,22522.0,2026-03-30 07:22:20,NSI,9,1,-1.3041861,-297.5996,,2,,,
11245,^NSEI,22522.65,2026-03-30 07:22:20,NSI,9,1,-1.3013273,-296.94922,,2,,,
11246,^NSEI,22523.3,2026-03-30 07:22:21,NSI,9,1,-1.2983861,-296.29883,,2,,,
11247,^NSEI,22523.35,2026-03-30 07:22:22,NSI,9,1,-1.2982516,-296.25,,2,,,
11248,^NSEI,22523.2,2026-03-30 07:22:23,NSI,9,1,-1.2988482,-296.4004,,2,,,
11249,^NSEI,22522.25,2026-03-30 07:22:25,NSI,9,1,-1.3029705,-297.3496,,2,,,
11250,^NSEI,22521.35,2026-03-30 07:22:25,NSI,9,1,-1.3069389,-298.25,,2,,,
11251,^NSEI,22521.35,2026-03-30 07:22:26,NSI,9,1,-1.3069905,-298.25,,2,,,
11252,^NSEI,22520.65,2026-03-30 07:22:27,NSI,9,1,-1.3100518,-298.94922,,2,,,
11253,^NSEI,22519.55,2026-03-30 07:22:28,NSI,9,1,-1.3148388,-300.04883,,2,,,
11254,^NSEI,22518.75,2026-03-30 07:22:29,NSI,9,1,-1.3183537,-300.8496,,2,,,
11255,^NSEI,22517.25,2026-03-30 07:22:30,NSI,9,1,-1.3249356,-302.3496,,2,,,
11256,^NSEI,22515.25,2026-03-30 07:22:31,NSI,9,1,-1.3336734,-304.3496,,2,,,
11257,^NSEI,22514.55,2026-03-30 07:22:32,NSI,9,1,-1.3367434,-305.04883,,2,,,
11258,^NSEI,22513.8,2026-03-30 07:22:33,NSI,9,1,-1.3400769,-305.79883,,2,,,
11259,^NSEI,22514.3,2026-03-30 07:22:35,NSI,9,1,-1.3379092,-305.29883,,2,,,
11260,^NSEI,22512.0,2026-03-30 07:22:35,NSI,9,1,-1.3478265,-307.5996,,2,,,
11261,^NSEI,22511.75,2026-03-30 07:22:36,NSI,9,1,-1.3489958,-307.8496,,2,,,
11262,^NSEI,22512.75,2026-03-30 07:22:37,NSI,9,1,-1.3446846,-306.8496,,2,,,
11263,^NSEI,22510.8,2026-03-30 07:22:38,NSI,9,1,-1.3532385,-308.79883,,2,,,
11264,^NSEI,22509.25,2026-03-30 07:22:39,NSI,9,1,-1.3599867,-310.3496,,2,,,
11265,^NSEI,22510.3,2026-03-30 07:22:40,NSI,9,1,-1.3554027,-309.29883,,2,,,
11266,^NSEI,22509.55,2026-03-30 07:22:41,NSI,9,1,-1.3586507,-310.04883,,2,,,
11267,^NSEI,22509.75,2026-03-30 07:22:42,NSI,9,1,-1.3578312,-309.8496,,2,,,
